timestamp,lane
1.451,2
1.778,3
1.86,3
1.942,2
2.024,2
2.106,3
2.27,2
2.598,2
2.926,3
3.09,2
3.254,3
3.336,3
3.5,3
3.582,2
3.636,2
3.691,2
3.746,3
3.91,2
4.237,3
4.401,2
4.483,2
4.565,3
4.647,2
4.729,2
4.811,2
4.893,3
4.975,2
5.057,3
5.139,3
5.221,2
5.549,2
5.713,2
5.877,2
6.041,2
6.205,3
6.369,3
6.696,2
6.778,2
6.86,3
6.942,2
7.106,3
7.188,2
7.27,3
7.352,3
7.434,2
7.598,3
7.68,2
7.762,2
7.844,3
7.926,2
8.09,3
8.172,2
8.254,3
8.336,3
8.418,2
8.582,2
8.664,3
8.746,2
8.828,3
8.91,2
8.991,3
9.073,2
9.155,3
9.237,3
9.319,2
9.401,2
9.483,3
9.565,2
9.729,2
9.811,3
9.893,2
9.975,2
10.057,3
10.221,3
10.303,2
10.385,3
10.467,3
10.549,2
10.713,2
10.795,3
10.877,3
10.959,2
11.041,3
11.205,3
11.287,2
11.369,3
11.532,2
11.696,3
11.778,2
11.942,2
12.27,2
12.352,3
12.434,2
12.516,3
12.598,2
12.68,3
12.762,2
12.844,3
12.926,2
13.008,3
13.09,2
13.172,3
13.254,2
13.582,2
13.664,3
13.746,2
13.828,3
13.91,2
13.991,3
14.073,2
14.155,3
14.237,2
14.319,3
14.401,2
14.483,3
14.565,2
14.893,2
14.975,3
15.057,2
15.139,3
15.221,2
15.303,3
15.385,2
15.467,3
15.549,2
15.631,3
15.713,2
15.795,2
15.877,3
16.041,3
16.205,2
16.369,2
16.696,3
16.86,3
17.188,2
17.516,3
17.68,2
17.844,2
18.09,2
18.172,3
18.336,2
18.5,3
18.664,2
18.746,2
18.828,3
18.991,2
19.319,2
19.483,3
19.647,2
19.729,2
19.893,3
19.975,2
20.139,3
20.303,2
20.385,2
20.467,3
20.549,3
20.631,2
20.795,3
20.959,2
21.287,3
21.45,3
21.614,3
21.778,2
21.86,2
21.942,3
22.106,3
22.27,2
22.598,2
22.762,3
22.926,2
23.008,3
23.09,2
23.254,2
23.418,3
23.582,2
23.664,2
23.746,3
23.828,3
23.91,2
24.073,3
24.237,2
