timestamp,lane
8.118,1
8.618,2
9.118,2
9.618,3
10.118,3
10.618,3
11.118,3
11.618,4
12.118,4
12.618,3
13.118,3
13.618,3
14.118,3
14.618,2
15.118,2
15.368,1
15.618,1
16.118,1
16.618,2
17.118,2
18.118,4
18.618,3
19.118,3
20.118,1
20.618,2
21.118,2
23.368,2
23.618,2
24.118,1
24.618,1
25.118,1
25.618,1
26.118,1
26.618,2
27.118,2
27.618,3
28.118,3
28.618,3
29.118,4
29.618,3
30.118,3
31.118,2
32.118,3
47.868,2
48.368,2
48.868,3
49.368,4
49.868,4
50.118,4
51.868,3
52.118,3
53.868,1
54.118,1
54.618,1
55.118,2
55.618,2
56.618,3
57.118,4
57.618,4
58.118,4
58.618,3
58.868,3
59.118,2
59.618,3
59.868,3
60.118,4
60.618,3
60.868,3
61.118,2
61.618,2
61.868,2
62.118,3
62.368,3
62.618,3
62.868,3
63.118,2
63.368,2
63.618,2
63.868,2
64.118,2
65.118,3
74.368,2
75.618,4
76.118,3
78.118,4
78.368,4
78.618,4
78.868,3
79.118,2
79.368,2
80.118,3
80.368,3
80.618,3
80.868,3
81.118,3
81.368,3
82.118,3
82.368,3
82.618,3
83.118,3
84.118,1
86.118,4
86.993,3
87.118,3
87.368,3
87.618,2
88.118,1
88.868,1
88.993,1
89.118,1
90.243,4
90.368,4
91.993,1
92.118,1
94.368,2
94.618,2
94.868,3
95.118,3
95.368,2
95.618,2
96.118,3
99.618,3
100.119,4
101.369,1
101.619,2
101.869,2
102.119,3
105.369,2
105.619,2
111.869,1
112.369,2
112.869,3
113.369,4
113.869,4
114.369,3
114.619,3
114.869,2
115.119,2
115.369,1
115.869,2
116.369,2
116.619,3
116.869,4
117.119,4
117.869,4
118.119,3
118.369,3
118.619,3
118.869,3
119.369,2
119.619,2
119.869,2
120.369,1
122.369,2
122.619,2
122.869,3
123.119,3
124.369,3
124.619,3
124.869,2
125.119,2
125.869,1
126.119,1
129.369,1
129.869,1
130.369,2
130.619,2
130.869,2
131.119,2
131.369,3
131.869,3
132.369,3
132.619,3
132.869,4
133.119,4
133.869,4
134.119,3
134.369,3
134.619,3
134.869,3
135.119,3
135.369,2
135.619,2
135.869,2
138.369,1
138.619,2
138.869,2
139.119,3
139.619,4
139.869,4
140.369,4
140.869,3
141.369,2
141.619,3
