timestamp,lane
1.385,1
1.72,2
1.887,1
2.725,2
3.06,2
3.228,3
4.066,3
4.401,3
4.569,4
5.072,3
5.407,1
5.574,2
5.742,2
5.91,2
6.245,1
6.412,2
6.58,2
6.748,3
7.083,4
7.25,3
8.088,4
8.256,4
8.424,3
8.591,3
9.429,2
9.764,1
9.932,1
10.435,2
10.77,3
10.938,2
11.273,4
12.069,3
12.404,3
12.571,2
12.654,2
12.738,2
12.822,2
12.906,2
13.242,3
13.409,2
13.744,1
13.996,1
14.079,1
14.163,1
14.247,1
14.415,1
14.582,2
14.75,1
15.085,2
15.253,2
15.336,2
15.42,3
15.504,3
15.588,3
15.923,4
16.091,4
16.258,4
16.426,4
16.594,4
16.677,4
16.761,4
16.845,4
16.929,4
17.096,3
17.264,2
17.432,1
17.767,2
18.102,1
18.186,1
18.27,1
18.437,1
18.605,1
18.772,3
19.108,3
19.359,4
19.443,4
19.61,3
19.778,2
19.862,2
19.946,1
20.03,1
20.113,1
20.365,2
20.616,2
20.867,1
21.035,2
21.119,2
21.286,3
21.454,4
21.789,4
21.873,4
21.957,4
22.124,4
22.292,4
22.46,3
22.795,1
23.13,1
23.465,1
23.8,2
24.136,2
24.471,3
24.806,3
25.057,3
25.141,3
25.309,4
25.476,4
25.812,4
26.147,3
26.482,4
26.817,4
27.152,4
27.487,3
27.739,2
27.823,2
27.99,2
28.158,2
28.325,1
28.493,2
28.661,3
28.829,3
28.996,1
29.163,1
29.331,1
29.499,2
29.582,2
29.666,2
29.749,2
29.834,3
29.917,3
30.001,3
30.084,3
30.169,4
30.337,4
30.504,4
30.672,3
30.839,3
30.923,2
31.007,2
31.091,2
31.175,3
31.258,3
31.342,3
31.426,3
31.51,3
31.594,3
31.677,3
31.761,2
31.845,2
31.929,2
32.013,2
32.096,3
32.18,3
32.432,4
32.599,3
32.767,4
32.851,4
32.934,4
33.018,4
33.102,4
33.186,4
33.521,4
33.856,3
34.024,4
34.191,3
34.443,3
34.527,3
34.778,1
34.862,1
35.029,1
35.197,2
35.365,1
35.532,3
35.784,4
35.867,4
36.119,4
36.203,4
36.37,4
36.538,3
36.705,3
36.873,2
37.124,1
37.208,1
37.543,1
37.879,2
38.046,3
38.214,3
38.381,4
38.549,4
38.717,3
38.884,1
39.219,1
39.387,2
39.555,1
39.806,2
39.89,2
40.141,4
40.225,4
40.392,4
40.56,3
40.728,4
40.895,2
41.147,3
41.231,3
41.482,2
41.566,2
41.733,3
41.901,3
42.068,1
42.236,3
42.571,4
42.906,3
43.074,3
43.242,2
43.409,3
43.744,3
43.912,2
44.08,1
44.163,1
44.247,1
44.331,1
44.415,1
44.582,2
44.75,1
44.918,2
45.169,3
45.253,3
45.42,4
45.756,4
45.923,3
46.091,2
46.258,2
46.594,1
46.761,1
47.096,2
47.264,3
47.432,3
47.599,2
47.934,3
48.102,4
48.27,4
48.605,4
48.772,3
49.024,2
49.108,2
49.275,2
49.443,3
49.527,2
49.61,2
49.946,1
50.113,1
50.281,2
50.448,2
50.616,3
50.783,3
50.951,2
51.119,3
51.203,3
51.286,3
51.454,4
51.622,4
51.873,3
52.124,2
52.292,1
52.46,1
52.627,2
52.795,3
52.963,3
53.13,3
53.214,3
53.298,3
53.465,4
53.884,4
53.968,4
54.136,3
54.219,3
54.303,3
54.471,2
54.555,2
54.638,2
54.974,1
55.225,3
55.476,1
55.812,2
55.979,3
56.147,3
56.314,4
56.566,4
56.817,3
57.152,4
57.32,4
57.487,3
57.655,1
57.906,4
58.158,2
58.325,2
58.577,3
58.828,3
58.996,3
59.247,2
59.499,3
59.666,4
59.834,4
59.918,4
60.001,4
60.337,4
60.672,4
60.755,4
60.839,4
60.923,3
61.007,3
61.091,3
61.175,3
61.342,2
61.51,3
61.845,2
62.013,1
62.18,1
62.263,1
62.347,1
62.431,1
62.515,2
62.683,2
62.851,3
63.353,4
63.521,4
63.856,2
64.024,3
64.359,2
64.61,1
64.862,1
65.029,3
65.7,4
65.951,3
66.203,2
66.37,2
66.705,3
67.041,3
67.292,4
67.543,3
67.711,2
67.879,1
68.046,1
68.214,1
68.381,2
68.633,3
68.884,2
69.052,3
69.304,2
69.555,2
69.722,3
69.89,4
69.974,4
70.057,4
70.141,4
70.225,4
70.309,4
70.393,4
70.56,4
70.644,4
70.728,4
70.895,4
71.063,4
71.398,2
71.733,1
72.069,2
72.404,2
72.571,1
72.739,1
72.906,2
73.074,2
73.158,1
73.242,1
73.325,1
73.409,2
73.493,2
73.577,2
73.661,2
73.744,2
73.996,3
74.247,3
74.499,2
74.75,1
74.917,3
75.085,4
75.42,4
75.756,4
76.091,4
76.426,2
77.096,1
77.432,3
77.767,4
77.934,2
78.102,3
78.27,2
78.437,3
78.521,3
78.605,3
78.689,3
78.772,3
79.108,2
79.946,2
80.113,3
80.196,2
80.28,2
80.364,2
80.448,1
80.616,3
80.951,3
81.119,3
81.454,4
81.538,4
81.622,4
81.706,4
81.789,4
82.46,3
82.795,2
82.962,3
83.13,2
83.465,2
83.8,1
84.136,1
84.247,1
84.359,2
84.471,1
84.806,1
85.141,3
85.309,3
85.476,2
85.644,3
85.812,4
85.979,4
86.063,4
86.147,4
86.314,3
86.482,3
86.817,1
86.985,1
87.152,1
88.158,4
88.325,4
88.493,3
88.828,4
88.996,3
89.163,3
89.499,3
89.582,3
89.666,3
89.749,2
89.834,2
90.169,1
90.504,3
90.672,2
90.839,3
91.007,2
91.175,4
91.51,2
91.677,3
91.845,1
92.18,3
92.515,4
93.186,3
93.353,2
93.521,3
93.689,3
93.772,2
93.856,2
94.191,3
94.527,3
94.694,3
94.862,4
95.029,2
95.197,1
95.532,1
95.867,1
96.035,2
96.203,2
96.371,3
96.538,4
97.208,3
97.376,3
97.543,4
97.626,4
97.71,3
97.794,3
97.879,3
98.214,1
98.549,1
98.717,3
98.884,2
99.052,2
99.219,3
99.555,4
99.722,3
99.974,4
100.057,4
100.225,3
100.56,1
100.895,2
101.063,2
101.231,1
101.398,2
101.482,2
101.566,2
101.733,1
101.901,1
102.236,2
102.404,1
102.571,3
102.739,1
102.906,1
103.242,2
103.577,4
103.912,3
104.08,4
104.247,4
104.415,3
104.582,4
104.918,2
105.253,3
105.504,2
105.588,2
105.756,3
105.923,2
106.258,1
106.426,3
106.594,2
106.761,1
106.929,3
107.096,4
107.264,2
107.599,4
107.682,4
107.766,4
107.85,3
107.934,3
108.102,4
108.27,4
108.605,3
108.772,2
108.94,2
109.275,1
109.61,1
109.778,1
109.946,2
110.281,2
110.448,3
110.784,2
110.951,4
111.286,4
111.622,3
111.789,3
112.124,3
112.46,3
112.627,2
112.711,2
112.795,2
112.962,3
113.046,3
113.13,3
113.298,2
